Frequency,	Imag,	phase,	LinMag,	Real
1072500000.00000000,	0.00148445,	177.56496013,	0.03493923,	-0.03490768
1072502501.25062537,	-0.01494732,	-168.14944120,	0.07278604,	-0.07123472
1072505002.50125062,	0.00093799,	0.85251626,	0.06304281,	0.06303583
1072507503.75187600,	0.01106537,	74.01771620,	0.01151028,	0.00316924
1072510005.00250125,	-0.00580328,	-176.35480797,	0.09127853,	-0.09109387
1072512506.25312662,	-0.02102135,	-14.11714452,	0.08618657,	0.08358366
1072515007.50375187,	-0.08364376,	-80.53538966,	0.08479809,	0.01394406
1072517508.75437725,	0.08205023,	52.79845047,	0.10301171,	0.06228301
1072520010.00500250,	-0.01220373,	-150.97395034,	0.02515159,	-0.02199253
1072522511.25562787,	0.02701114,	15.89679467,	0.09861486,	0.09484349
1072525012.50625312,	-0.03726226,	-40.67949643,	0.05716586,	0.04335274
1072527513.75687849,	-0.01488172,	-159.81921088,	0.04313750,	-0.04048923
1072530015.00750375,	-0.02692743,	-153.82318465,	0.06104017,	-0.05477970
1072532516.25812912,	-0.03053477,	-153.35855838,	0.06809629,	-0.06086652
1072535017.50875437,	-0.03875662,	-133.98744438,	0.05386665,	-0.03741043
1072537518.75937974,	-0.00473033,	-17.37565105,	0.01583981,	0.01511700
1072540020.01000500,	-0.00345036,	-174.05514523,	0.03331393,	-0.03313477
1072542521.26063037,	0.06119649,	52.36824541,	0.07727305,	0.04718170
1072545022.51125562,	0.01933889,	98.72258156,	0.01956517,	-0.00296707
1072547523.76188099,	0.06287181,	150.99880842,	0.12967865,	-0.11341819
1072550025.01250625,	0.06495645,	102.93243839,	0.06664697,	-0.01491572
1072552526.26313162,	0.13942194,	81.53835193,	0.14095631,	0.02074135
1072555027.51375687,	-0.01967162,	-169.12033248,	0.10422216,	-0.10234885
1072557528.76438224,	0.09567524,	120.53680458,	0.11108198,	-0.05643984
1072560030.01500750,	0.01944725,	29.01550200,	0.04009360,	0.03506139
1072562531.26563287,	-0.02358733,	-167.58511221,	0.10971406,	-0.10714856
1072565032.51625812,	-0.06152909,	-100.06232934,	0.06249030,	-0.01091827
