Frequency,	Imag,	phase,	LinMag,	Real
1072482491.00000000,	-0.07433636,	-109.25931312,	0.07874319,	-0.02597298
1072484992.25062537,	0.06184999,	18.36647268,	0.19629077,	0.18629183
1072487493.50125062,	0.17578125,	103.57831354,	0.18083562,	-0.04245554
1072489994.75187600,	0.01386419,	88.38371920,	0.01386970,	0.00039120
1072492496.00250125,	-0.00348223,	-1.30237540,	0.15320806,	0.15316848
1072494997.25312662,	0.07072514,	103.97440401,	0.07288218,	-0.01760020
1072497498.50375187,	0.05775553,	49.58890390,	0.07585312,	0.04917310
1072499999.75437725,	-0.06724622,	-35.59797923,	0.11552462,	0.09393553
1072502501.00500250,	-0.01629733,	-169.77751987,	0.09183101,	-0.09037329
1072505002.25562787,	0.00398288,	176.92130218,	0.07415866,	-0.07405163
1072507503.50625312,	-0.00427126,	-175.61262751,	0.05583402,	-0.05567040
1072510004.75687849,	-0.05112153,	-153.26259784,	0.11362811,	-0.10147876
1072512506.00750375,	0.02350922,	25.90554817,	0.05381053,	0.04840340
1072515007.25812912,	0.07817051,	62.65019219,	0.08800823,	0.04043290
1072517508.50875437,	-0.01469297,	-10.44603610,	0.08103810,	0.07969498
1072520009.75937974,	0.05485845,	120.04000415,	0.06337065,	-0.03172363
1072522511.01000500,	-0.00577296,	-171.79430986,	0.04044752,	-0.04003342
1072525012.26063037,	-0.11330822,	-101.51276325,	0.11563476,	-0.02307910
1072527513.51125562,	0.06629781,	46.54073143,	0.09133646,	0.06282476
1072530014.76188099,	-0.04599923,	-144.41076389,	0.07904052,	-0.06427655
1072532516.01250625,	-0.03775654,	-151.19294596,	0.07835558,	-0.06865887
1072535017.26313162,	0.00942336,	4.57687653,	0.11809226,	0.11771568
1072537518.51375687,	0.00223430,	3.56667844,	0.03591532,	0.03584576
1072540019.76438224,	-0.00266575,	-2.51348586,	0.06078617,	0.06072769
1072542521.01500750,	-0.05748678,	-78.35714331,	0.05869445,	0.01184516
1072545022.26563287,	-0.14056906,	-104.65263653,	0.14529444,	-0.03675343
1072547523.51625812,	-0.07485378,	-36.25400309,	0.12657775,	0.10207272
1072550024.76688349,	-0.02786096,	-93.74215687,	0.02792049,	-0.00182227
1072552526.01750874,	0.00848245,	18.30611416,	0.02700612,	0.02563939
1072555027.26813412,	-0.04397894,	-139.55906372,	0.06779929,	-0.05160034
1072557528.51875937,	0.08791701,	94.32815326,	0.08816846,	-0.00665396
1072560029.76938474,	0.01232940,	4.40574237,	0.16049943,	0.16002516
1072562531.02000999,	-0.08765628,	-106.46960636,	0.09140667,	-0.02591440
1072565032.27063537,	0.06772317,	22.34247719,	0.17815231,	0.16477808
1072567533.52126062,	-0.04326769,	-159.41176708,	0.12304213,	-0.11518364
1072570034.77188599,	-0.02781040,	-67.06742285,	0.03019706,	0.01176621
1072572536.02251124,	0.03485459,	31.49718727,	0.06671289,	0.05688380
1072575037.27313662,	0.14716026,	66.85033951,	0.16004708,	0.06291998
1072577538.52376187,	-0.07126871,	-38.74634447,	0.11387076,	0.08881059
1072580039.77438724,	0.01929759,	159.56296064,	0.05526578,	-0.05178716
1072582541.02501249,	-0.03978040,	-56.05532331,	0.04795263,	0.02677637
1072585042.27563786,	-0.07444093,	-127.14375865,	0.09338700,	-0.05638865
1072587543.52626312,	-0.12305053,	-117.41205574,	0.13861436,	-0.06381619
1072590044.77688849,	0.02893362,	136.11387841,	0.04173756,	-0.03008106
1072592546.02751374,	-0.10107659,	-84.50782573,	0.10154274,	0.00971864
1072595047.27813911,	0.10127976,	115.56916185,	0.11227546,	-0.04845812
1072597548.52876437,	-0.03645248,	-141.99786086,	0.05920582,	-0.04665346
1072600049.77938974,	0.04065423,	117.13186317,	0.04568099,	-0.02083236
1072602551.03001499,	0.00180677,	1.09932723,	0.09417248,	0.09415515
1072605052.28064036,	-0.00196800,	-3.36521287,	0.03352633,	0.03346852
1072607553.53126562,	0.03989357,	20.18570398,	0.11561207,	0.10851108
1072610054.78189099,	0.01867592,	127.35677598,	0.02349549,	-0.01425651
1072612556.03251624,	0.01818374,	162.04741960,	0.05899410,	-0.05612179
1072615057.28314161,	-0.05619309,	-19.89950546,	0.16509344,	0.15523589
1072617558.53376687,	0.05497547,	60.83703719,	0.06295594,	0.03067813
1072620059.78439224,	0.07989711,	125.92671765,	0.09866665,	-0.05789266
1072622561.03501749,	-0.01893682,	-47.88831628,	0.02552685,	0.01711774
1072625062.28564286,	0.05075968,	59.32314795,	0.05901887,	0.03011116
1072627563.53626811,	0.10545240,	98.57781709,	0.10664532,	-0.01590642
1072630064.78689349,	0.05375113,	105.59737192,	0.05580619,	-0.01500493
1072632566.03751874,	0.05593723,	148.37071682,	0.10666471,	-0.09082063
1072635067.28814411,	0.07017171,	91.85760905,	0.07020861,	-0.00227586
1072637568.53876936,	0.00957797,	6.62982918,	0.08295893,	0.08240417
1072640069.78939474,	0.06968161,	110.19369240,	0.07424540,	-0.02562913
1072642571.04001999,	-0.10160465,	-125.72667700,	0.12515789,	-0.07308210
1072645072.29064536,	0.02869571,	56.88345942,	0.03426104,	0.01871831
1072647573.54127061,	-0.04346273,	-132.95306135,	0.05938244,	-0.04046313
1072650074.79189599,	0.00580949,	26.18006252,	0.01316767,	0.01181682
1072652576.04252124,	0.02494597,	11.84583719,	0.12152224,	0.11893424
1072655077.29314661,	0.10901508,	84.12457502,	0.10959078,	0.01121836
1072657578.54377186,	0.05582455,	128.52034177,	0.07135158,	-0.04443722
1072660079.79439723,	-0.03204016,	-79.00597213,	0.03263919,	0.00622451
1072662581.04502249,	-0.00707599,	-172.26383494,	0.05256592,	-0.05208749
1072665082.29564786,	-0.04072087,	-114.08463491,	0.04460393,	-0.01820222
1072667583.54627311,	-0.00291040,	-1.40254896,	0.11890506,	0.11886943
1072670084.79689848,	-0.15386362,	-77.78171144,	0.15742966,	0.03331790
1072672586.04752374,	-0.07418250,	-103.31306337,	0.07623110,	-0.01755386
1072675087.29814911,	0.18067108,	92.73087613,	0.18087649,	-0.00861781
1072677588.54877436,	0.07885788,	143.88500068,	0.13379171,	-0.10808171
1072680089.79939973,	0.12308872,	89.11076461,	0.12310354,	0.00191050
1072682591.05002499,	-0.05766151,	-27.55385056,	0.12465142,	0.11051302
1072685092.30065036,	0.07868475,	56.29163544,	0.09458744,	0.05249280
1072687593.55127561,	0.19053449,	107.30517404,	0.19956815,	-0.05936376
1072690094.80190098,	0.12358534,	119.49550787,	0.14198777,	-0.06990843
1072692596.05252624,	-0.00308429,	-1.73073058,	0.10212087,	0.10207429
1072695097.30315161,	-0.05453224,	-72.52181166,	0.05717178,	0.01717113
1072697598.55377686,	0.00369327,	174.92489350,	0.04175005,	-0.04158637
1072700099.80440223,	0.12768364,	95.10844125,	0.12819283,	-0.01141442
1072702601.05502748,	-0.05329335,	-46.68407231,	0.07324720,	0.05024909
1072705102.30565286,	0.04357412,	154.86617737,	0.10259158,	-0.09287803
1072707603.55627811,	-0.01658588,	-145.63328507,	0.02938218,	-0.02425328
1072710104.80690348,	0.09365215,	54.76957101,	0.11465196,	0.06613884
1072712606.05752873,	0.03031050,	146.59031282,	0.05504775,	-0.04595137
1072715107.30815411,	0.00081944,	0.37686855,	0.12458140,	0.12457871
1072717608.55877936,	-0.03464444,	-40.55255557,	0.05328722,	0.04048816
1072720109.80940473,	-0.05882415,	-94.57377719,	0.05901207,	-0.00470578
1072722611.06002998,	-0.05851297,	-17.64020123,	0.19308752,	0.18400821
1072725112.31065536,	0.02234398,	155.69255080,	0.05428133,	-0.04946928
1072727613.56128061,	-0.06004505,	-53.38071303,	0.07481161,	0.04462476
1072730114.81190598,	0.08366813,	83.32693000,	0.08423881,	0.00978888
1072732616.06253123,	0.16089298,	109.67321172,	0.17086681,	-0.05752317
1072735117.31315660,	-0.00503604,	-9.88543192,	0.02933410,	0.02889858
1072737618.56378186,	-0.06868501,	-67.52283427,	0.07433185,	0.02841820
1072740119.81440723,	-0.03928240,	-18.06384827,	0.12668612,	0.12044196
1072742621.06503248,	0.06202337,	110.13484369,	0.06606066,	-0.02274011
1072745122.31565785,	-0.11407004,	-109.82694736,	0.12125806,	-0.04112836
1072747623.56628311,	0.00763059,	113.01004400,	0.00829019,	-0.00324057
1072750124.81690848,	-0.02431477,	-54.21893369,	0.02997173,	0.01752416
1072752626.06753373,	0.04317506,	40.56997337,	0.06638474,	0.05042666
1072755127.31815910,	0.04187373,	65.61281402,	0.04597588,	0.01898348
1072757628.56878436,	0.05451933,	26.13851583,	0.12375491,	0.11109870
1072760129.81940973,	0.05503023,	105.03820849,	0.05698168,	-0.01478465
