Frequency,	Imag,	phase,	LinMag,	Real
996962982.00000000,	-0.00457290,	-158.49093301,	0.01247217,	-0.01160360
996967984.50125062,	0.05912488,	51.35177482,	0.07570455,	0.04728030
996972987.00250125,	0.00496885,	10.95081518,	0.02615647,	0.02568018
996977989.50375187,	-0.05819236,	-97.94625527,	0.05875653,	-0.00812275
996982992.00500250,	0.01333889,	25.64523145,	0.03082017,	0.02778411
996987994.50625312,	-0.02293786,	-50.45941779,	0.02974408,	0.01893581
996992997.00750375,	0.00122679,	3.66510631,	0.01919116,	0.01915191
996997999.50875437,	-0.01443802,	-24.30767675,	0.03507469,	0.03196525
997003002.01000500,	0.04125718,	51.74147597,	0.05254187,	0.03253449
997008004.51125562,	0.02407198,	34.04621612,	0.04299631,	0.03562615
997013007.01250625,	0.04814454,	38.70621198,	0.07699095,	0.06008086
997018009.51375687,	-0.02305120,	-21.67699849,	0.06240618,	0.05799288
997023012.01500750,	0.00155077,	172.51212990,	0.01190003,	-0.01179855
997028014.51625812,	0.05652134,	113.04521929,	0.06142314,	-0.02404455
997033017.01750874,	0.02885260,	48.94108990,	0.03826430,	0.02513332
997038019.51875937,	0.06014139,	134.10174257,	0.08375012,	-0.05828461
997043022.02000999,	0.00751047,	151.52037782,	0.01575029,	-0.01384430
997048024.52126062,	-0.03277755,	-23.23586171,	0.08308270,	0.07634374
997053027.02251124,	0.02455669,	21.06679117,	0.06831625,	0.06375013
997058029.52376187,	0.00443700,	10.71162154,	0.02387203,	0.02345606
997063032.02501249,	-0.02157483,	-150.89741651,	0.04435845,	-0.03875821
997068034.52626312,	0.00111885,	175.79029298,	0.01524166,	-0.01520054
997073037.02751374,	-0.00354979,	-21.39659949,	0.00973021,	0.00905958
997078039.52876437,	-0.00264917,	-10.13069330,	0.01506114,	0.01482632
997083042.03001499,	0.01921075,	122.26113072,	0.02271783,	-0.01212630
997088044.53126562,	-0.00460366,	-150.28716786,	0.00928807,	-0.00806688
997093047.03251624,	0.01901679,	24.68368618,	0.04553737,	0.04137649
997098049.53376687,	0.01122457,	22.75523087,	0.02901942,	0.02676071
997103052.03501749,	-0.02192990,	-38.78985781,	0.03500574,	0.02728518
997108054.53626811,	0.01185806,	46.82746335,	0.01625958,	0.01112477
997113057.03751874,	0.01010041,	66.11220969,	0.01104667,	0.00447331
997118059.53876936,	-0.02598325,	-47.71372243,	0.03512236,	0.02363156
997123062.04001999,	0.02010117,	31.57110461,	0.03839352,	0.03271094
997128064.54127061,	-0.01908515,	-23.90652429,	0.04709526,	0.04305485
997133067.04252124,	-0.01506677,	-57.65071804,	0.01783468,	0.00954296
997138069.54377186,	0.03043330,	91.02833334,	0.03043820,	-0.00054627
997143072.04502249,	0.01417258,	147.49946964,	0.02637705,	-0.02224605
997148074.54627311,	-0.00798517,	-170.29497330,	0.04736844,	-0.04669053
997153077.04752374,	0.00779824,	162.83020421,	0.02641640,	-0.02523913
997158079.54877436,	0.01349403,	166.79061657,	0.05905218,	-0.05748975
997163082.05002499,	0.01559377,	151.79282044,	0.03299142,	-0.02907350
997168084.55127561,	0.05650648,	57.64874423,	0.06688872,	0.03579271
997173087.05252624,	0.00511930,	158.75453238,	0.01412750,	-0.01316735
997178089.55377686,	-0.00982753,	-45.27602770,	0.01383175,	0.00973329
997183092.05502748,	0.01006534,	45.92964273,	0.01400909,	0.00974390
997188094.55627811,	0.00942159,	22.38454406,	0.02474022,	0.02287601
997193097.05752873,	-0.00068776,	-4.35418222,	0.00905879,	0.00903264
997198099.55877936,	0.04451123,	81.76509473,	0.04497496,	0.00644185
997203102.06002998,	-0.03580604,	-95.45623414,	0.03596901,	-0.00342013
997208104.56128061,	0.00504444,	151.05234091,	0.01042217,	-0.00912005
997213107.06253123,	-0.01347659,	-15.28769298,	0.05111238,	0.04930372
997218109.56378186,	0.03046189,	25.51675135,	0.07071417,	0.06381667
997223112.06503248,	0.04292059,	67.16136044,	0.04657173,	0.01807622
997228114.56628311,	0.03380894,	104.35118435,	0.03489794,	-0.00864996
997233117.06753373,	0.01570169,	87.48090539,	0.01571688,	0.00069079
997238119.56878436,	0.01664533,	44.17953258,	0.02388451,	0.01712901
997243122.07003498,	-0.00216921,	-1.84280943,	0.06745569,	0.06742080
