Frequency,	Imag,	phase,	LinMag,	Real
1034244121.00000000,	-0.00155979,	-170.68168710,	0.00963313,	-0.00950601
1034249123.50125062,	-0.01137703,	-19.97039767,	0.03331149,	0.03130845
1034254126.00250125,	0.00563241,	167.82343735,	0.02670336,	-0.02610260
1034259128.50375187,	-0.00619292,	-87.19441881,	0.00620035,	0.00030349
1034264131.00500250,	0.01102036,	125.81561058,	0.01359021,	-0.00795270
1034269133.50625312,	-0.04317402,	-108.20452383,	0.04544885,	-0.01419867
1034274136.00750375,	-0.04986637,	-128.60181696,	0.06380848,	-0.03981039
1034279138.50875437,	-0.00045555,	-1.60132708,	0.01630172,	0.01629535
1034284141.01000500,	-0.03792691,	-31.95641418,	0.07165837,	0.06079862
1034289143.51125562,	0.00251678,	161.94001882,	0.00811832,	-0.00771835
1034294146.01250625,	-0.00535272,	-172.32835457,	0.04009653,	-0.03973764
1034299148.51375687,	-0.00944011,	-6.38430160,	0.08489567,	0.08436918
1034304151.01500750,	0.06142228,	134.05600727,	0.08546774,	-0.05943095
1034309153.51625812,	0.05034444,	38.50924420,	0.08085630,	0.06327068
1034314156.01750874,	0.03089265,	85.98839402,	0.03096853,	0.00216651
1034319158.51875937,	-0.02168103,	-47.54626994,	0.02938515,	0.01983482
1034324161.02000999,	0.04159588,	56.81747196,	0.04970047,	0.02720147
1034329163.52126062,	0.03412153,	125.79872419,	0.04206942,	-0.02460807
1034334166.02251124,	0.03353117,	108.03870757,	0.03526450,	-0.01091999
1034339168.52376187,	0.00803343,	165.03623729,	0.03111222,	-0.03005719
1034344171.02501249,	-0.02503839,	-30.14216043,	0.04986264,	0.04312032
1034349173.52626312,	-0.04337442,	-141.40747814,	0.06953508,	-0.05434875
1034354176.02751374,	-0.00163889,	-9.64721809,	0.00977968,	0.00964138
1034359178.52876437,	0.00834574,	7.65223722,	0.06267453,	0.06211638
1034364181.03001499,	0.00260712,	9.51077356,	0.01577842,	0.01556154
1034369183.53126562,	-0.00000437,	-179.91815299,	0.00305814,	-0.00305813
1034374186.03251624,	0.01296585,	70.49324801,	0.01375538,	0.00459317
1034379188.53376687,	-0.01253810,	-23.81668181,	0.03104937,	0.02840527
1034384191.03501749,	0.01675399,	33.09308723,	0.03068491,	0.02570735
1034389193.53626811,	0.01939964,	16.87201545,	0.06684120,	0.06396405
1034394196.03751874,	0.01785577,	12.64074787,	0.08159381,	0.07961609
1034399198.53876936,	0.01155277,	49.97685849,	0.01508618,	0.00970188
1034404201.04001999,	0.02006045,	90.10378404,	0.02006048,	-0.00003634
1034409203.54127061,	0.01210777,	140.05290020,	0.01885710,	-0.01445656
1034414206.04252124,	0.05401989,	75.24834560,	0.05586116,	0.01422392
1034419208.54377186,	-0.01973016,	-129.24655265,	0.02547698,	-0.01611824
1034424211.04502249,	-0.00628300,	-104.65078366,	0.00649416,	-0.00164255
1034429213.54627311,	-0.02078677,	-60.99771136,	0.02376716,	0.01152338
1034434216.04752374,	0.00348207,	5.60908295,	0.03562563,	0.03545506
1034439218.54877436,	-0.04823847,	-66.81520417,	0.05247648,	0.02065989
1034444221.05002499,	0.01130318,	21.91160866,	0.03028917,	0.02810110
1034449223.55127561,	-0.00683224,	-170.63472581,	0.04198562,	-0.04142599
1034454226.05252624,	0.04564828,	133.78104027,	0.06322570,	-0.04374614
