Frequency,	Imag,	phase,	LinMag,	Real
1053859680.00000000,	0.03511922,	37.23577549,	0.05803905,	0.04620792
1053864682.50125062,	0.08102103,	89.97614549,	0.08102103,	0.00003373
1053869685.00250125,	-0.02684343,	-86.29145025,	0.02689976,	0.00173991
1053874687.50375187,	-0.01956685,	-39.93309965,	0.03048305,	0.02337424
1053879690.00500250,	0.03545605,	54.77710631,	0.04340240,	0.02503272
1053884692.50625312,	0.04297686,	43.71385063,	0.06219002,	0.04495095
1053889695.00750375,	0.01240144,	91.87867309,	0.01240811,	-0.00040678
1053894697.50875437,	0.02873047,	87.98734523,	0.02874820,	0.00100964
1053899700.01000500,	0.04716751,	121.08527640,	0.05507650,	-0.02843673
1053904702.51125562,	-0.00531900,	-4.69722141,	0.06495284,	0.06473469
1053909705.01250625,	0.01029930,	160.06763069,	0.03021115,	-0.02840137
1053914707.51375687,	0.05035926,	51.65713492,	0.06420815,	0.03983255
1053919710.01500750,	0.03499020,	43.60983375,	0.05072926,	0.03673070
1053924712.51625812,	0.08911880,	69.33069210,	0.09524972,	0.03362064
1053929715.01750874,	0.02926907,	47.80032429,	0.03950963,	0.02653927
1053934717.51875937,	0.05935999,	44.11759345,	0.08527101,	0.06121713
1053939720.02000999,	0.02590723,	132.85002347,	0.03533753,	-0.02403240
1053944722.52126062,	-0.04858330,	-39.27195756,	0.07675061,	0.05941650
1053949725.02251124,	-0.05726275,	-41.32515355,	0.08671820,	0.06512314
1053954727.52376187,	0.08751157,	74.36980294,	0.09087195,	0.02448339
1053959730.02501249,	0.00975926,	30.10929149,	0.01945429,	0.01682932
1053964732.52626312,	-0.00613716,	-142.93751583,	0.01018301,	-0.00812583
1053969735.02751374,	0.07783103,	76.87234946,	0.07991961,	0.01815145
1053974737.52876437,	0.08693010,	65.42757983,	0.09558678,	0.03974910
1053979740.03001499,	0.05201126,	77.81175159,	0.05321067,	0.01123407
1053984742.53126562,	0.02977453,	28.09231158,	0.06322985,	0.05578075
1053989745.03251624,	0.03270308,	72.60291126,	0.03427077,	0.01024670
1053994747.53376687,	0.02860272,	143.84802345,	0.04848501,	-0.03914946
1053999750.03501749,	0.02409457,	153.00252882,	0.05307745,	-0.04729342
1054004752.53626811,	-0.03226044,	-89.83348485,	0.03226058,	0.00009376
1054009755.03751874,	0.06862495,	64.95662228,	0.07574602,	0.03206361
1054014757.53876936,	0.06598657,	36.11005762,	0.11196725,	0.09045682
1054019760.04001999,	0.04244368,	105.55519807,	0.04405739,	-0.01181472
1054024762.54127061,	0.08333117,	47.66992785,	0.11271970,	0.07590552
1054029765.04252124,	-0.01769728,	-20.20065470,	0.05125058,	0.04809811
1054034767.54377186,	0.04038149,	28.42324895,	0.08483844,	0.07461163
1054039770.04502249,	0.04940318,	40.67011761,	0.07580629,	0.05749713
1054044772.54627311,	-0.00030201,	-171.60063567,	0.00206757,	-0.00204539
1054049775.04752374,	0.05815224,	135.29944294,	0.08267288,	-0.05876327
1054054777.54877436,	0.02410426,	93.03115470,	0.02413803,	-0.00127639
1054059780.05002499,	0.04642899,	76.60830374,	0.04772670,	0.01105384
1054064782.55127561,	0.03855632,	109.95143823,	0.04101814,	-0.01399636
1054069785.05252624,	-0.01521440,	-87.16394836,	0.01523306,	0.00075370
1054074787.55377686,	0.05064283,	73.77753674,	0.05274282,	0.01473463
1054079790.05502748,	0.03299150,	110.32619136,	0.03518229,	-0.01222107
1054084792.55627811,	0.05854419,	101.77251582,	0.05980211,	-0.01220121
1054089795.05752873,	0.00942507,	12.42523402,	0.04380382,	0.04277783
1054094797.55877936,	0.11903355,	81.91521344,	0.12022849,	0.01690874
1054099800.06002998,	-0.00425596,	-4.99938857,	0.04883759,	0.04865180
1054104802.56128061,	0.00345600,	8.07802519,	0.02459408,	0.02435005
1054109805.06253123,	-0.00301033,	-16.14550229,	0.01082551,	0.01039854
1054114807.56378186,	0.04831823,	46.13393728,	0.06701913,	0.04644258
1054119810.06503248,	0.04328322,	115.79330149,	0.04807272,	-0.02091768
1054124812.56628311,	0.04140000,	58.58797005,	0.04850948,	0.02528260
1054129815.06753373,	0.00627420,	8.71441502,	0.04141126,	0.04093320
1054134817.56878436,	-0.00233554,	-25.59271321,	0.00540671,	0.00487625
1054139820.07003498,	0.07792576,	52.45354936,	0.09828444,	0.05989497
1054144822.57128561,	0.01358136,	48.82331598,	0.01804393,	0.01187982
1054149825.07253623,	0.03135514,	100.20007429,	0.03185866,	-0.00564172
1054154827.57378685,	0.05517056,	76.59167628,	0.05671653,	0.01315195
1054159830.07503748,	-0.00410229,	-9.15428962,	0.02578541,	0.02545699
1054164832.57628810,	-0.01898410,	-18.87101360,	0.05869458,	0.05553969
1054169835.07753873,	0.14339776,	97.89454077,	0.14476981,	-0.01988416
1054174837.57878935,	0.04373374,	102.50141789,	0.04479582,	-0.00969667
1054179840.08003998,	0.03420068,	78.49224033,	0.03490230,	0.00696303
1054184842.58129060,	0.00179032,	169.13087561,	0.00949440,	-0.00932407
1054189845.08254123,	0.03159048,	81.71456809,	0.03192369,	0.00460035
1054194847.58379185,	0.05141267,	90.72838405,	0.05141683,	-0.00065363
1054199850.08504248,	0.05077393,	49.68457209,	0.06658927,	0.04308293
1054204852.58629310,	-0.00262694,	-171.10851294,	0.01699588,	-0.01679164
1054209855.08754373,	-0.00144459,	-9.19053357,	0.00904460,	0.00892849
1054214857.58879435,	0.01011614,	84.92319141,	0.01015598,	0.00089871
1054219860.09004498,	0.06827763,	79.45745830,	0.06945000,	0.01270696
1054224862.59129560,	0.06216702,	64.39447112,	0.06893729,	0.02979282
1054229865.09254622,	0.05688401,	63.05457472,	0.06381148,	0.02891563
1054234867.59379685,	0.07083132,	51.42365430,	0.09060286,	0.05649604
1054239870.09504747,	0.07174508,	99.51453150,	0.07274579,	-0.01202471
1054244872.59629810,	0.00157025,	2.12390896,	0.04236957,	0.04234046
1054249875.09754872,	0.02452558,	46.29863401,	0.03392428,	0.02343827
1054254877.59879935,	0.09043801,	112.03228493,	0.09756276,	-0.03659862
1054259880.10004997,	0.04810651,	24.76569323,	0.11483775,	0.10427595
1054264882.60130060,	0.01655065,	10.48578018,	0.09094186,	0.08942314
1054269885.10255122,	0.01820949,	153.51711959,	0.04083482,	-0.03654992
1054274887.60380185,	0.00140838,	178.73186737,	0.06363730,	-0.06362171
1054279890.10505247,	0.01902159,	65.35679398,	0.02092764,	0.00872612
1054284892.60630310,	0.02667134,	81.79186051,	0.02694739,	0.00384727
1054289895.10755372,	0.05092441,	76.87304452,	0.05229081,	0.01187574
1054294897.60880434,	0.04628028,	105.13791148,	0.04794394,	-0.01252024
1054299900.11005497,	0.05168280,	126.42485294,	0.06423126,	-0.03813846
1054304902.61130559,	0.10338655,	70.67198760,	0.10956152,	0.03626221
1054309905.11255622,	0.01699620,	92.01773984,	0.01700675,	-0.00059879
1054314907.61380696,	-0.00444055,	-4.82882002,	0.05275121,	0.05256398
1054319910.11505759,	0.04187381,	36.29352272,	0.07074210,	0.05701779
1054324912.61630821,	0.03227718,	48.69801330,	0.04296514,	0.02835818
1054329915.11755884,	-0.00635711,	-5.55663896,	0.06565252,	0.06534401
1054334917.61880946,	0.05669779,	67.16197465,	0.06152065,	0.02387785
1054339920.12006009,	-0.01135313,	-27.40231233,	0.02466808,	0.02190024
1054344922.62131071,	0.07786542,	98.98270447,	0.07883226,	-0.01230858
1054349925.12256134,	0.00920665,	52.41996361,	0.01161720,	0.00708497
1054354927.62381196,	0.07344922,	78.71745165,	0.07489665,	0.01465334
1054359930.12506258,	0.05684142,	64.72070472,	0.06286120,	0.02684369
1054364932.62631321,	-0.04635032,	-132.93919706,	0.06331345,	-0.04313051
1054369935.12756383,	0.00968927,	152.64963213,	0.02108973,	-0.01873219
1054374937.62881446,	0.06589741,	74.54712910,	0.06836895,	0.01821661
1054379940.13006508,	0.01431344,	31.63324228,	0.02729073,	0.02323595
1054384942.63131571,	0.03501298,	24.10179426,	0.08574068,	0.07826593
1054389945.13256633,	0.01082100,	90.38740919,	0.01082125,	-0.00007317
1054394947.63381696,	0.09253033,	79.43432214,	0.09412620,	0.01725922
1054399950.13506758,	0.05723624,	52.45747220,	0.07218583,	0.04398645
1054404952.63631821,	-0.05084281,	-72.28277403,	0.05337436,	0.01624286
1054409955.13756883,	0.04675184,	148.04249816,	0.08832933,	-0.07494222
1054414957.63881946,	0.03974365,	41.28425162,	0.06023634,	0.04526433
1054419960.14007008,	0.03285338,	94.28447565,	0.03294545,	-0.00246131
1054424962.64132071,	0.04771138,	42.26666108,	0.07093764,	0.05249546
1054429965.14257133,	0.08878719,	54.28556061,	0.10935239,	0.06383400
1054434967.64382195,	0.04576224,	51.32028748,	0.05862056,	0.03663587
1054439970.14507258,	-0.02275043,	-56.82348862,	0.02718129,	0.01487415
1054444972.64632320,	0.02783793,	38.75771921,	0.04446751,	0.03467577
1054449975.14757383,	0.03333206,	74.95257990,	0.03451555,	0.00896087
1054454977.64882445,	0.03205270,	91.42529009,	0.03206262,	-0.00079751
1054459980.15007508,	-0.02413660,	-21.08267242,	0.06709928,	0.06260782
1054464982.65132570,	0.00771096,	5.78217970,	0.07653793,	0.07614851
1054469985.15257633,	0.01649646,	26.57146505,	0.03687895,	0.03298369
1054474987.65382695,	0.01266188,	139.99436636,	0.01969608,	-0.01508683
1054479990.15507758,	0.04487146,	40.78552781,	0.06869173,	0.05201064
