Frequency,	Imag,	phase,	LinMag,	Real
1067885395.00000000,	0.00912260,	151.38033358,	0.01904537,	-0.01671838
1067887896.25062537,	-0.02710680,	-103.65102867,	0.02789480,	-0.00658339
1067890397.50125062,	0.04606114,	102.92314760,	0.04725814,	-0.01056900
1067892898.75187600,	0.11386185,	61.14201107,	0.13000620,	0.06274623
1067895400.00250125,	0.13224569,	61.06182623,	0.15111335,	0.07311855
1067897901.25312662,	0.01478086,	11.31624507,	0.07532641,	0.07386199
1067900402.50375187,	0.00200611,	179.17119905,	0.13868881,	-0.13867430
1067902903.75437725,	0.07117455,	98.10347420,	0.07189238,	-0.01013404
1067905405.00500250,	-0.07016303,	-45.06134579,	0.09911943,	0.07001294
1067907906.25562787,	0.10218328,	46.59339591,	0.14065233,	0.09665224
1067910407.50625312,	0.09525221,	85.11187013,	0.09559991,	0.00814612
1067912908.75687849,	0.07008854,	67.04855865,	0.07611405,	0.02968074
1067915410.00750375,	0.08465405,	69.86646281,	0.09016369,	0.03103518
1067917911.25812912,	-0.01182210,	-53.05112517,	0.01479293,	0.00889206
1067920412.50875437,	0.10191487,	138.54752084,	0.15395027,	-0.11538650
1067922913.75937974,	0.00477968,	177.03212845,	0.09231464,	-0.09219082
1067925415.01000500,	-0.02528947,	-10.34984914,	0.14076437,	0.13847400
1067927916.26063037,	-0.01254244,	-25.90410495,	0.02871003,	0.02582543
1067930417.51125562,	0.06229896,	62.98482186,	0.06992920,	0.03176370
1067932918.76188099,	0.04197352,	25.01351030,	0.09926762,	0.08995712
1067935420.01250625,	0.02070993,	27.70534150,	0.04454470,	0.03943767
1067937921.26313162,	0.08312315,	94.36393670,	0.08336484,	-0.00634335
1067940422.51375687,	-0.06200065,	-58.72444905,	0.07254249,	0.03766076
1067942923.76438224,	0.04041912,	62.02276261,	0.04576782,	0.02147063
1067945425.01500750,	0.09800430,	92.50451281,	0.09809800,	-0.00428669
1067947926.26563287,	0.01002605,	50.52701725,	0.01298838,	0.00825690
1067950427.51625812,	0.03161361,	146.97572659,	0.05800724,	-0.04863558
1067952928.76688349,	0.02805323,	151.99020385,	0.05973570,	-0.05273870
1067955430.01750874,	0.05366856,	136.68089229,	0.07822709,	-0.05691365
1067957931.26813412,	0.05377025,	150.30095386,	0.10852937,	-0.09427293
1067960432.51875937,	0.07421617,	103.26038643,	0.07624915,	-0.01748979
1067962933.76938474,	0.07175765,	121.96281241,	0.08458079,	-0.04477442
1067965435.02000999,	0.09749198,	86.26717687,	0.09769925,	0.00636061
1067967936.27063537,	0.10316975,	83.12700056,	0.10391651,	0.01243558
1067970437.52126062,	0.01304874,	19.18293325,	0.03971187,	0.03750684
1067972938.77188599,	0.06823084,	52.00120102,	0.08658476,	0.05330547
1067975440.02251124,	0.00699009,	5.64172875,	0.07110415,	0.07075973
1067977941.27313662,	-0.04850759,	-64.92709307,	0.05355402,	0.02269465
1067980442.52376187,	-0.11059164,	-64.69451419,	0.12233025,	0.05228938
1067982943.77438724,	0.00761406,	173.42030121,	0.06644892,	-0.06601125
1067985445.02501249,	-0.05790060,	-89.56547085,	0.05790227,	0.00043912
1067987946.27563786,	-0.02654082,	-107.69081159,	0.02785823,	-0.00846557
1067990447.52626312,	0.04386950,	114.47384351,	0.04820027,	-0.01996830
1067992948.77688849,	0.10246426,	120.53439950,	0.11896130,	-0.06043895
1067995450.02751374,	0.00688364,	175.05060869,	0.07978648,	-0.07948898
1067997951.27813911,	-0.00454843,	-174.64865929,	0.04876999,	-0.04855743
1068000452.52876437,	-0.03548592,	-21.32410104,	0.09758448,	0.09090368
1068002953.77938974,	-0.08441417,	-113.23733364,	0.09186652,	-0.03624509
1068005455.03001499,	0.02881505,	15.73219811,	0.10627313,	0.10229209
1068007956.28064036,	0.06899609,	124.27990777,	0.08350046,	-0.04703049
1068010457.53126562,	0.04930881,	124.90552972,	0.06012561,	-0.03440538
1068012958.78189099,	0.07167587,	52.27154681,	0.09062344,	0.05545428
1068015460.03251624,	0.04594224,	152.59942495,	0.09982915,	-0.08862939
1068017961.28314161,	-0.02040606,	-163.94030550,	0.07376431,	-0.07088558
1068020462.53376687,	-0.01612799,	-122.42626064,	0.01910714,	-0.01024551
1068022963.78439224,	0.00726402,	4.19762992,	0.09923945,	0.09897324
1068025465.03501749,	0.01580581,	158.23856733,	0.04263282,	-0.03959462
1068027966.28564286,	0.12054855,	114.50045523,	0.13247706,	-0.05493830
1068030467.53626811,	0.04217691,	58.41909669,	0.04950913,	0.02592803
1068032968.78689349,	0.00174020,	176.57359652,	0.02911663,	-0.02906458
1068035470.03751874,	0.02289402,	37.56656859,	0.03755070,	0.02976440
1068037971.28814411,	0.08811506,	104.64126565,	0.09107242,	-0.02302003
1068040472.53876936,	0.04098762,	140.25683306,	0.06410853,	-0.04929421
1068042973.78939474,	-0.01002112,	-166.25871146,	0.04218742,	-0.04097994
1068045475.04001999,	0.03333209,	67.69330288,	0.03602825,	0.01367504
1068047976.29064536,	0.07405915,	38.73172398,	0.11836687,	0.09233611
1068050477.54127061,	-0.03479832,	-37.21346006,	0.05753821,	0.04582273
1068052978.79189599,	0.13030462,	47.12209765,	0.17781613,	0.12099291
1068055480.04252124,	-0.04489183,	-113.26598159,	0.04886552,	-0.01930189
1068057981.29314661,	0.12626909,	115.81518577,	0.14026729,	-0.06108215
1068060482.54377186,	0.07427011,	68.77497231,	0.07967479,	0.02884481
1068062983.79439723,	0.14381492,	69.23313908,	0.15380767,	0.05453500
1068065485.04502249,	-0.06317697,	-93.24997693,	0.06327874,	-0.00358742
1068067986.29564786,	0.02419237,	81.60939837,	0.02445412,	0.00356836
1068070487.54627311,	0.06193829,	37.77075708,	0.10112313,	0.07993457
1068072988.79689848,	-0.00308277,	-9.86574882,	0.01799212,	0.01772605
1068075490.04752374,	0.04865857,	136.27619666,	0.07039900,	-0.05087595
1068077991.29814911,	-0.01523782,	-89.87123445,	0.01523786,	0.00003425
1068080492.54877436,	0.01153513,	102.56431692,	0.01181814,	-0.00257086
1068082993.79939973,	-0.04371584,	-56.04830585,	0.05270088,	0.02943311
1068085495.05002499,	0.08368691,	67.91039500,	0.09031642,	0.03396405
1068087996.30065036,	-0.00383440,	-173.22167804,	0.03248711,	-0.03226003
1068090497.55127561,	0.00305494,	5.86580989,	0.02989214,	0.02973562
1068092998.80190098,	0.00633977,	110.79313448,	0.00678146,	-0.00240738
1068095500.05252624,	-0.01287716,	-171.73848445,	0.08961673,	-0.08868673
1068098001.30315161,	0.01766521,	161.04388846,	0.05438063,	-0.05143144
1068100502.55377686,	-0.00208376,	-178.28876139,	0.06977893,	-0.06974781
1068103003.80440223,	0.11596579,	67.24608903,	0.12575254,	0.04863780
1068105505.05502748,	0.02270442,	143.26766772,	0.03796234,	-0.03042447
1068108006.30565286,	0.10935634,	56.75008466,	0.13076414,	0.07169693
1068110507.55627811,	-0.04292350,	-65.77993845,	0.04706646,	0.01930865
1068113008.80690348,	0.00687455,	162.79976778,	0.02324745,	-0.02220776
1068115510.05752873,	0.03155725,	25.57857038,	0.07309177,	0.06592834
1068118011.30815411,	0.01303359,	109.21737717,	0.01380273,	-0.00454321
1068120512.55877936,	0.04120528,	120.74519488,	0.04794381,	-0.02450988
1068123013.80940473,	0.04104029,	115.42643807,	0.04544192,	-0.01951057
1068125515.06002998,	-0.03899624,	-39.27263903,	0.06160434,	0.04769054
1068128016.31065536,	0.08596534,	79.86441973,	0.08732817,	0.01536784
1068130517.56128061,	-0.01755930,	-13.93324245,	0.07292333,	0.07077770
1068133018.81190598,	0.08104447,	95.11225672,	0.08136815,	-0.00725050
1068135520.06253123,	-0.00345386,	-175.61155097,	0.04513787,	-0.04500553
1068138021.31315660,	0.08729509,	44.36464298,	0.12484597,	0.08925292
